fecha;equipo1;g1;e;g2;equipo2
1;Arsenal;;;X;Estudiantes LP
1;Boca Juniors;;X;;Newell's
1;Def. y Justicia;;;X;Racing Club
1;Gimnasia LP;;X;;River Plate
1;Godoy Cruz Mza.;X;;;Banfield
1;Independiente;X;;;At. Rafaela
1;Lanús;;X;;Belgrano (Cba)
1;Rosario Central;X;;;Quilmes
1;San Lorenzo;;X;;Olimpo (BB)
1;Tigre;X;;;Vélez Sarsfield
2;At. Rafaela;;;X;Lanús
2;Banfield;;;X;Def. y Justicia
2;Belgrano (Cba);;;X;Boca Juniors
2;Estudiantes LP;;;X;Independiente
2;Newell's;X;;;Gimnasia LP
2;Olimpo (BB);;X;;Tigre
2;Quilmes;;X;;Godoy Cruz Mza.
2;Racing Club;;;X;San Lorenzo
2;River Plate;;X;;Rosario Central
2;Vélez Sarsfield;;X;;Arsenal
3;Arsenal;X;;;Olimpo (BB)
3;Boca Juniors;X;;;At. Rafaela
3;Def. y Justicia;;X;;Quilmes
3;Gimnasia LP;X;;;Rosario Central
3;Godoy Cruz Mza.;;;X;River Plate
3;Independiente;;X;;Vélez Sarsfield
3;Lanús;;X;;Estudiantes LP
3;Newell's;X;;;Belgrano (Cba)
3;San Lorenzo;X;;;Banfield
3;Tigre;;;X;Racing Club
4;At. Rafaela;;X;;Newell's
4;Banfield;X;;;Tigre
4;Belgrano (Cba);;;X;Gimnasia LP
4;Estudiantes LP;;X;;Boca Juniors
4;Olimpo (BB);;X;;Independiente
4;Quilmes;;X;;San Lorenzo
4;Racing Club;X;;;Arsenal
4;River Plate;;;X;Def. y Justicia
4;Rosario Central;X;;;Godoy Cruz Mza.
4;Vélez Sarsfield;;X;;Lanús
5;Arsenal;;;X;Banfield
5;Belgrano (Cba);X;;;At. Rafaela
5;Boca Juniors;;X;;Vélez Sarsfield
5;Def. y Justicia;;;X;Rosario Central
5;Gimnasia LP;;X;;Godoy Cruz Mza.
5;Independiente;X;;;Racing Club
5;Lanús;;X;;Olimpo (BB)
5;Newell's;X;;;Estudiantes LP
5;San Lorenzo;;;X;River Plate
5;Tigre;;X;;Quilmes
6;At. Rafaela;;;X;Gimnasia LP
6;Banfield;;X;;Independiente
6;Estudiantes LP;;X;;Belgrano (Cba)
6;Godoy Cruz Mza.;X;;;Def. y Justicia
6;Olimpo (BB);;X;;Boca Juniors
6;Quilmes;;X;;Arsenal
6;Racing Club;;;X;Lanús
6;River Plate;;X;;Tigre
6;Rosario Central;;X;;San Lorenzo
6;Vélez Sarsfield;X;;;Newell's
7;Arsenal;X;;;River Plate
7;At. Rafaela;;X;;Estudiantes LP
7;Belgrano (Cba);;X;;Vélez Sarsfield
7;Boca Juniors;;;X;Racing Club
7;Gimnasia LP;;X;;Def. y Justicia
7;Independiente;;;X;Quilmes
7;Lanús;;X;;Banfield
7;Newell's;;X;;Olimpo (BB)
