fecha;equipo1;goles1;equipo2;goles2
1;Arsenal;2;Estudiantes LP;1
1;Boca Juniors;0;Newell's;1
1;Def. y Justicia;1;Racing Club;3
1;Gimnasia LP;1;River Plate;1
1;Godoy Cruz Mza.;3;Banfield;0
1;Independiente;3;At. Rafaela;0
1;Lanús;1;Belgrano (Cba);0
1;Rosario Central;3;Quilmes;1
1;San Lorenzo;2;Olimpo (BB);0
1;Tigre;0;Vélez Sarsfield;1
2;At. Rafaela;2;Lanús;1
2;Banfield;2;Def. y Justicia;3
2;Belgrano (Cba);0;Boca Juniors;1
2;Estudiantes LP;1;Independiente;0
2;Newell's;1;Gimnasia LP;1
2;Olimpo (BB);2;Tigre;1
2;Quilmes;2;Godoy Cruz Mza.;2
2;Racing Club;2;San Lorenzo;0
2;River Plate;2;Rosario Central;0
2;Vélez Sarsfield;2;Arsenal;1
3;Arsenal;1;Olimpo (BB);0
3;Boca Juniors;0;At. Rafaela;3
3;Def. y Justicia;1;Quilmes;1
3;Gimnasia LP;1;Rosario Central;2
3;Godoy Cruz Mza.;0;River Plate;4
3;Independiente;0;Vélez Sarsfield;4
3;Lanús;2;Estudiantes LP;1
3;Newell's;3;Belgrano (Cba);3
3;San Lorenzo;0;Banfield;2
3;Tigre;4;Racing Club;0
4;At. Rafaela;2;Newell's;3
4;Banfield;1;Tigre;0
4;Belgrano (Cba);0;Gimnasia LP;0
4;Estudiantes LP;3;Boca Juniors;1
4;Olimpo (BB);1;Independiente;2
4;Quilmes;0;San Lorenzo;3
4;Racing Club;1;Arsenal;0
4;River Plate;3;Def. y Justicia;0
4;Rosario Central;0;Godoy Cruz Mza.;1
4;Vélez Sarsfield;1;Lanús;0
5;Arsenal;1;Banfield;0
5;Belgrano (Cba);3;At. Rafaela;0
5;Boca Juniors;3;Vélez Sarsfield;1
5;Def. y Justicia;1;Rosario Central;3
5;Gimnasia LP;2;Godoy Cruz Mza.;0
5;Independiente;2;Racing Club;1
5;Lanús;1;Olimpo (BB);1
5;Newell's;1;Estudiantes LP;0
5;San Lorenzo;1;River Plate;3
5;Tigre;0;Quilmes;0
6;At. Rafaela;2;Gimnasia LP;0
6;Banfield;0;Independiente;1
6;Estudiantes LP;3;Belgrano (Cba);1
6;Godoy Cruz Mza.;1;Def. y Justicia;1
6;Olimpo (BB);0;Boca Juniors;1
6;Quilmes;4;Arsenal;0
6;Racing Club;1;Lanús;3
6;River Plate;2;Tigre;0
6;Rosario Central;1;San Lorenzo;1
6;Vélez Sarsfield;0;Newell's;0
7;Arsenal;1;River Plate;1
7;At. Rafaela;1;Estudiantes LP;0
7;Belgrano (Cba);1;Vélez Sarsfield;0
7;Boca Juniors;1;Racing Club;2
7;Gimnasia LP;0;Def. y Justicia;3
7;Independiente;5;Quilmes;3
7;Lanús;1;Banfield;0
7;Newell's;1;Olimpo (BB);0
7;San Lorenzo;2;Godoy Cruz Mza.;1
7;Tigre;4;Rosario Central;1
8;Banfield;1;Boca Juniors;1
8;Def. y Justicia;1;San Lorenzo;3
8;Estudiantes LP;0;Gimnasia LP;0
8;Godoy Cruz Mza.;4;Tigre;3
8;Olimpo (BB);1;Belgrano (Cba);0
8;Quilmes;0;Lanús;2
8;Racing Club;1;Newell's;1
8;River Plate;4;Independiente;1
8;Rosario Central;3;Arsenal;1
8;Vélez Sarsfield;0;At. Rafaela;0
9;Banfield;1;Boca Juniors;1
9;Def. y Justicia;1;San Lorenzo;3
9;Estudiantes LP;0;Gimnasia LP;0
9;Godoy Cruz Mza.;4;Tigre;3
9;Olimpo (BB);1;Belgrano (Cba);0
9;Quilmes;0;Lanús;2
